Area,No. of Bedrooms,CarParking,LiftAvailable,Resale,Location,house_type,gated_community,Price
1340,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.756838941027668
1318,2,No,No,No,Manikonda,Apartment,No,15.701064058223746
1295,3,No,Yes,Yes,Alwal,Apartment,Yes,15.562795711336868
1145,2,Yes,Yes,No,Kukatpally,Apartment,No,15.552285894946893
1230,2,No,Yes,No,Nizampet,Apartment,Yes,15.623635545239885
1350,2,No,Yes,No,Manikonda,Apartment,Yes,15.76142084987672
1400,3,No,Yes,No,Gachibowli,Individual,Yes,15.250119017571357
2240,3,No,No,No,Tellapur,Individual,No,16.108045416114912
1520,2,No,Yes,Yes,Gachibowli,Individual,Yes,16.097893045681612
1535,3,Yes,Yes,No,Kokapet,Individual,Yes,16.00189896887749
1150,2,No,Yes,No,Hyder Nagar,Apartment,No,15.656060350091908
1285,2,No,Yes,No,Mehdipatnam,Apartment,Yes,15.656060350091908
1897,3,Yes,Yes,Yes,Tellapur,Individual,Yes,16.012735246411598
1725,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.222455756372646
1665,3,No,Yes,Yes,Khajaguda Nanakramguda Road,Apartment,Yes,16.257857680289995
1592,3,No,Yes,No,Kukatpally,Apartment,Yes,16.204273438942487
1150,2,No,Yes,No,Madhapur,Individual,No,15.970175636823718
2240,3,No,Yes,No,Tellapur,Individual,Yes,16.108045416114912
1050,3,No,No,No,Puppalaguda,Apartment,No,15.176487367510099
1735,3,No,Yes,No,Puppalaguda,Apartment,Yes,15.869634419864939
2800,3,No,Yes,No,Narsingi,Individual,Yes,16.791040175221152
1050,2,No,Yes,Yes,Begumpet,Apartment,No,15.615568995296266
1230,2,No,Yes,No,Kukatpally,Apartment,Yes,15.631962802384313
1175,2,No,No,No,Nizampet,Apartment,No,15.424948670398354
1190,2,No,No,No,Nizampet,Apartment,No,15.375758436291614
680,2,No,No,Yes,AS Rao Nagar,Apartment,No,14.731801689838349
1350,2,No,Yes,No,Pragathi Nagar Kukatpally,Apartment,Yes,15.590463078367458
1970,3,No,Yes,Yes,Miyapur,Individual,Yes,16.08763654656639
1105,2,No,Yes,No,Mallampet,Apartment,No,15.350440633694094
2005,3,No,No,Yes,Nanakramguda,Individual,No,16.58809934270405
1105,2,No,Yes,No,Mallampet,Apartment,No,15.350440633694094
1406,3,No,No,No,Attapur,Apartment,No,15.830413711839864
1545,3,No,Yes,No,Alwal,Apartment,Yes,15.63033546298976
1495,3,Yes,Yes,No,Nanakramguda,Apartment,Yes,16.166885910365842
1300,3,No,No,Yes,West Marredpally,Apartment,No,15.789591722875162
1200,2,No,Yes,No,Nizampet,Apartment,No,15.341567078850604
1450,3,No,No,Yes,Hitech City,Individual,No,16.15731646026544
1450,3,No,No,Yes,Banjara Hills,Individual,No,16.06680246183392
1912,3,Yes,Yes,No,Narsingi,Individual,Yes,16.112278866220134
1850,3,No,Yes,No,Manikonda,Individual,Yes,16.04013421759671
1300,3,No,Yes,No,Puppalaguda,Apartment,Yes,15.319588176962744
1674,3,Yes,Yes,Yes,Kompally,Apartment,Yes,16.077273760604726
1242,3,No,No,Yes,Sri Nagar Colony,Apartment,No,15.967272877502799
850,2,No,No,Yes,Hakimpet,Apartment,No,14.80876270134486
1895,3,Yes,Yes,Yes,Pocharam,Individual,Yes,15.702580358511794
1636,3,Yes,Yes,No,Nagole,Apartment,Yes,15.965992989176344
1076,2,No,No,Yes,LB Nagar,Apartment,No,15.520258832020865
1080,2,No,Yes,Yes,Meerpet,Apartment,No,14.978661680269905
2100,3,No,Yes,Yes,Kachiguda,Individual,Yes,16.835935492889124
1265,2,No,No,No,Manikonda,Apartment,No,15.656060350091908
1300,3,No,Yes,No,Masab Tank,Apartment,Yes,15.671808704579888
1089,2,No,Yes,No,Miyapur,Apartment,No,15.422545786263198
1400,2,No,Yes,No,Kondapur,Individual,Yes,16.166885910365842
850,2,No,No,No,Saroornagar,Apartment,No,15.274125813221902
1100,2,No,No,No,Nizampet,Apartment,No,15.176487367510099
1700,3,No,Yes,Yes,Uppal Kalan,Apartment,Yes,15.520258832020865
2150,3,Yes,Yes,No,Tellapur,Individual,Yes,16.14765455028724
1195,2,No,Yes,Yes,Mallapur,Apartment,No,15.702580358511794
1105,2,No,No,No,Miyapur,Apartment,No,15.687312888712007
1205,2,Yes,Yes,No,Manikonda,Apartment,Yes,15.570606215711456
1250,3,No,Yes,No,Rajendra Nagar,Apartment,Yes,15.520258832020865
1340,2,Yes,Yes,No,Puppalaguda,Apartment,Yes,15.717618233614914
950,2,No,No,No,Beeramguda,Apartment,No,14.914123179965662
1100,2,No,Yes,No,Moosapet,Apartment,No,15.36307327944622
1908,3,No,No,No,Kondapur,Individual,No,16.52356082573315
1675,3,No,Yes,No,Bachupally,Apartment,Yes,15.878822844746738
1420,3,No,No,No,Toli Chowki,Apartment,No,15.830413711839864
910,2,No,Yes,No,Nanakramguda,Apartment,No,14.978661680269905
1325,3,No,Yes,Yes,Lakdikapul,Apartment,Yes,15.53827733427679
1717,3,No,No,No,Tarnaka,Apartment,No,16.213405921671733
2400,3,No,No,Yes,West Marredpally,Individual,No,16.300417291085605
1150,2,No,Yes,No,Kondapur,Individual,No,15.747032114495013
1000,3,No,No,No,Toli Chowki,Apartment,No,15.176487367510099
1200,2,No,Yes,No,Kistareddypet,Apartment,No,15.20155513789144
1040,2,No,Yes,No,Pragathi Nagar Kukatpally,Apartment,No,15.310659548211468
1181,2,No,Yes,No,Hafeezpet,Apartment,No,15.803247910433768
2100,3,No,No,No,Kompally,Individual,No,16.166885910365842
1550,3,No,Yes,No,Shaikpet,Apartment,Yes,16.300417291085605
1280,3,No,Yes,No,Amberpet,Apartment,Yes,15.856731016694033
1945,3,No,No,No,Kokapet,Individual,No,16.33320711122042
1000,2,Yes,Yes,Yes,Nagole,Apartment,No,15.123843647884685
1200,2,No,Yes,Yes,Miyapur,Apartment,No,15.894952224644102
2729,4,No,Yes,No,Gachibowli,Individual,Yes,16.68907525404123
1500,3,No,Yes,No,AS Rao Nagar,Apartment,Yes,15.761277839671676
2165,3,Yes,Yes,No,Banjara Hills,Individual,Yes,16.780783675579947
1050,2,No,Yes,Yes,Kapra,Apartment,No,14.914123179965662
1150,2,No,Yes,No,Bachupally,Apartment,No,14.91378979117557
1822,3,No,Yes,Yes,West Marredpally,Individual,Yes,15.955576839107596
1270,1,No,Yes,No,Puppalaguda,Apartment,Yes,15.687312888712007
1300,1,No,Yes,Yes,Trimalgherry,Apartment,Yes,15.319588176962744
1600,3,No,Yes,Yes,Habsiguda,Apartment,Yes,15.955576839107596
1818,3,Yes,Yes,Yes,Sanath Nagar,Individual,Yes,16.489659276356317
1282,2,No,Yes,No,Darga Khaliz Khan,Apartment,Yes,15.894952224644102
1830,3,No,Yes,No,Manikonda,Individual,Yes,15.967272877502799
1815,3,Yes,Yes,No,Kokapet,Individual,Yes,16.02081363836889
1400,1,No,Yes,No,Puppalaguda,Apartment,Yes,15.717618233614914
1220,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.663020199926065
1650,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.964944588014255
1680,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.98296309143568
1555,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.905644852853387
1685,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.985934861485168
1520,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.882879644928051
1225,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.667110184534204
1795,3,Yes,Yes,No,Nizampet,Apartment,Yes,16.049174312627095
1435,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.82533416677556
1430,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.821843762304367
1265,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.699241457753018
2080,3,Yes,Yes,No,Manikonda,Individual,Yes,16.15731646026544
2092,3,Yes,Yes,No,Manikonda,Individual,Yes,16.15731646026544
1370,2,Yes,Yes,No,Manikonda,Apartment,Yes,15.739759356223798
2232,3,Yes,Yes,No,Manikonda,Individual,Yes,16.222455756372646
2063,3,Yes,Yes,No,Manikonda,Individual,Yes,16.14765455028724
1400,2,Yes,Yes,No,Manikonda,Apartment,Yes,15.76142084987672
1865,3,Yes,Yes,No,Manikonda,Individual,Yes,16.048209630732753
2270,3,Yes,Yes,No,Manikonda,Individual,Yes,16.240313283682568
1896,3,Yes,Yes,No,Manikonda,Individual,Yes,16.064694979716432
3031,4,Yes,Yes,No,Hitech City,Individual,Yes,17.05810294851229
1702,3,No,No,No,Manikonda,Apartment,No,15.956752618058363
1350,2,No,No,No,Manikonda,Apartment,No,15.72505321099685
1525,3,No,No,No,Manikonda,Apartment,No,15.846943011605282
1225,2,No,No,No,Manikonda,Apartment,No,15.627889477660357
1728,3,No,No,No,Manikonda,Apartment,No,15.971913256520972
1725,3,No,No,No,Manikonda,Apartment,No,15.970175636823718
1300,2,No,No,No,Manikonda,Apartment,No,15.687312888712007
1600,3,No,No,No,Manikonda,Apartment,No,15.894952224644102
1200,2,No,No,No,Manikonda,Apartment,No,15.607270193858982
1640,3,No,Yes,Yes,Kothaguda,Apartment,Yes,16.108045416114912
1830,3,No,Yes,No,Kompally,Individual,Yes,15.923903921593878
1835,3,No,Yes,No,Kompally,Individual,Yes,15.926571883399564
1570,3,No,No,No,Tellapur,Apartment,No,15.775605482856603
1570,3,No,No,No,Tellapur,Apartment,No,16.108045416114912
1895,3,Yes,Yes,No,Sanath Nagar,Individual,Yes,16.58809934270405
1600,3,No,No,Yes,Manikonda,Apartment,No,15.894952224644102
1140,2,Yes,Yes,No,Kukatpally,Apartment,No,15.547873994101591
1150,2,Yes,Yes,No,Kukatpally,Apartment,No,15.55667841639182
1530,3,Yes,Yes,No,Kukatpally,Apartment,Yes,15.842078741824064
